"","table_no","p_value","ID","species","nurse_p","nurse_a","bare_p","bare_a"
"1231",1231,0.465074744560606,"197","Stipagrostis uniplumis",22,15,26,11
"1232",1232,0.20137791238979,"197","Tephrosia burchellii",1,36,5,32
"1233",1233,0.154837784365736,"197","Trachyandra saltii",2,35,7,30
"1234",1234,0.799238247031196,"197","Tylosema esculentum",10,27,12,25
"1235",1235,1,"197","Lapeirousia bainesii",6,31,6,31
"1236",1236,1,"197","Ornithoglossum vulgare",1,36,0,37
"1237",1237,1,"197","Acacia erioloba",3,34,2,35
"1238",1238,0.0145326664812399,"197","Aristida congesta",2,35,11,26
"1239",1239,0.607190981862465,"197","Cucumis meeusei",1,36,3,34
"1240",1240,1,"197","Cyperus margaritaceus",4,33,4,33
"1241",1241,0.473460214494225,"197","Eragrostis pallens",0,37,2,35
"1242",1242,1,"197","Geophyt indet.",0,37,1,36
"1243",1243,0.157971808256728,"197","Indigofera heterotricha",5,32,11,26
"1244",1244,0.766612776884907,"197","Ptycholobium biflorum",6,31,8,29
"1245",1245,1,"197","Terminalia sericea",5,32,5,32
"1246",1246,0.607190981862465,"197","Albuca fleckii",3,34,1,36
"1247",1247,1,"197","Asparagus sp.",1,36,0,37
"1248",1248,0.0639491088111138,"197","Dichrostachys cinerea",5,32,0,37
"1249",1249,0.473460214494225,"197","Fockea angustifolia",2,35,0,37
"1250",1250,0.473460214494225,"197","Melhania burchellii",2,35,0,37
"1251",1251,0.112088865790033,"197","Melinis repens",6,31,1,36
"1252",1252,0.140297430475029,"197","Schmidtia pappophoroides",16,21,9,28
"1253",1253,1,"197","Talinum caffrum",4,33,4,33
"1254",1254,1,"197","Ipomoea welwitschii",1,36,1,36
"1255",1255,0.261393130596637,"197","Eragrostis rigidior",2,35,6,31
"1256",1256,1,"197","Barleria macrostegia",3,34,4,33
"1257",1257,0.426941101816461,"197","Elephantorrhiza elephantina",2,35,5,32
"1258",1258,1,"197","Merremia tridentata",1,36,2,35
"1259",1259,1,"197","Raphionacme lanceolata",2,35,2,35
"1260",1260,0.426941101816461,"197","Walleria nutans",5,32,2,35
"1261",1261,0.473460214494225,"197","Blepharis integrifolia",2,35,0,37
"1262",1262,1,"197","Rhynchosia minima",1,36,1,36
"1263",1263,0.670196337437545,"197","Sida ovata",4,33,2,35
"1264",1264,0.607190981862465,"197","Triraphis schinzii",3,34,1,36
"1265",1265,1,"197","Aristida meridionalis",0,37,1,36
"1266",1266,1,"197","Asteraceae indet.",0,37,1,36
"1267",1267,1,"197","Eragrostis lehmanniana",3,34,2,35
"1268",1268,1,"197","Eragrostis nindensis",1,36,2,35
"1269",1269,1,"197","Trachyandra revoluta",1,36,1,36
"1270",1270,1,"197","Commelina livingstonii",1,36,0,37
"1271",1271,1,"197","Grewia flava",1,36,1,36
"1272",1272,1,"197","Tarchonanthus camphoratus",2,35,1,36
"1273",1273,0.354307112295224,"197","Seddera suffruticosa",4,33,1,36
"1274",1274,1,"197","Acacia fleckii",1,36,0,37
"1275",1275,1,"197","Babiana hypogea",1,36,0,37
"1276",1276,1,"197","Sida cordifolia",0,37,1,36
"1277",1277,1,"198","Aristida congesta",6,39,7,38
"1278",1278,0.381597151324041,"198","Stipagrostis uniplumis",26,19,31,14
"1279",1279,1,"198","Tylosema esculentum",22,23,23,22
"1280",1280,0.110972112381341,"198","Schmidtia pappophoroides",27,18,35,10
"1281",1281,1,"198","Talinum caffrum",11,34,11,34
"1282",1282,0.792147391795897,"198","Walleria nutans",8,37,10,35
"1283",1283,0.474549143449401,"198","Dicoma schinzii",14,31,10,35
"1284",1284,1,"198","Raphionacme lanceolata",1,44,0,45
"1285",1285,1,"198","Tephrosia burchellii",9,36,9,36
"1286",1286,1,"198","Eragrostis lehmanniana",8,37,9,36
"1287",1287,0.00219606161240912,"198","Indigofera alternans",9,36,24,21
"1288",1288,0.832988258623258,"198","Aristida stipitata",22,23,24,21
"1289",1289,1,"198","Eragrostis nindensis",6,39,5,40
"1290",1290,1,"198","Eragrostis rigidior",14,31,14,31
"1291",1291,0.0759269629825577,"198","Indigofera heterotricha",6,39,14,31
"1292",1292,0.519810505165628,"198","Hermannia tomentosa",4,41,7,38
"1293",1293,0.43118803223907,"198","Aristida meridionalis",2,43,5,40
"1294",1294,1,"198","Merremia tridentata",1,44,2,43
"1295",1295,1,"198","Barleria macrostegia",4,41,3,42
"1296",1296,0.737315677216418,"198","Acacia erioloba",4,41,6,39
"1297",1297,1,"198","Albuca fleckii",2,43,3,42
