"","table_no","p_value","exp_nurse_p","exp_nurse_a","exp_bare_p","exp_bare_a","res_nurse_p","res_nurse_a","res_bare_p","res_bare_a","site_ID","ID","graz","aridity","species","nurse_p","nurse_a","bare_p","bare_a","association"
"122",122,1.20946168213691e-05,24,24,51,51,2.65361388801511,-2.65361388801511,-1.82036410923641,1.82036410923641,"6","18","1","0.8223","Pappostipa speciosa",37,38,11,64,"nurse"
"123",123,0.450982319268883,9,9,66,66,0.666666666666667,-0.666666666666667,-0.246182981958665,0.246182981958665,"6","18","1","0.8223","Prosopis flexuosa",11,64,7,68,"neutral"
"124",124,1,30.5,30.5,44.5,44.5,0.0905357460425185,-0.0905357460425185,-0.0749531688995861,0.0749531688995861,"6","18","1","0.8223","Nassella longiglumis",31,44,30,45,"neutral"
"125",125,0.00190168315559188,36,36,39,39,1.66666666666667,-1.66666666666667,-1.60128153805087,1.60128153805087,"6","18","1","0.8223","Nassella chilensis",46,29,26,49,"nurse"
"126",126,0.763441463864832,6,6,69,69,-0.408248290463863,0.408248290463863,0.120385853085769,-0.120385853085769,"6","18","1","0.8223","Senna aphylla",5,70,7,68,"neutral"
"127",127,0.132369546811101,6,6,69,69,1.22474487139159,-1.22474487139159,-0.361157559257308,0.361157559257308,"6","18","1","0.8223","Ephedra ochreata",9,66,3,72,"neutral"
"128",128,0.326109452020489,5,5,70,70,-0.894427190999916,0.894427190999916,0.239045721866879,-0.239045721866879,"6","18","1","0.8223","Aristida mendocina",3,72,7,68,"neutral"
"129",129,0.0372208503797727,3,3,72,72,1.73205080756888,-1.73205080756888,-0.353553390593274,0.353553390593274,"6","18","1","0.8223","Senecio melanopotamicus",6,69,0,75,"too_rare"
"130",130,0.000152968002381792,12,12,63,63,2.59807621135332,-2.59807621135332,-1.13389341902768,1.13389341902768,"6","18","1","0.8223","Pappostipa humilis",21,54,3,72,"nurse"
"131",131,1,4.5,4.5,70.5,70.5,0.235702260395516,-0.235702260395516,-0.0595491334175414,0.0595491334175414,"6","18","1","0.8223","Boopis anthemoides",5,70,4,71,"too_rare"
"132",132,1,5.5,5.5,69.5,69.5,0.21320071635561,-0.21320071635561,-0.0599760143904067,0.0599760143904067,"6","18","1","0.8223","Trichocline sinuata",6,69,5,70,"neutral"
"133",133,0.06884504460752,2.5,2.5,72.5,72.5,-1.58113883008419,1.58113883008419,0.293610109757352,-0.293610109757352,"6","18","1","0.8223","Poa ligularis",0,75,5,70,"too_rare"
"134",134,0.0792298891162297,17,17,58,58,1.21267812518166,-1.21267812518166,-0.656532164298613,0.656532164298613,"6","18","1","0.8223","Baccharis gilliesii",22,53,12,63,"neutral"
"135",135,3.61662776604676e-06,26,26,49,49,2.74562589193458,-2.74562589193458,-2,2,"6","18","1","0.8223","Chuquiraga rosulata",40,35,12,63,"nurse"
"136",136,1,0.5,0.5,74.5,74.5,-0.707106781186547,0.707106781186547,0.0579284446363492,-0.0579284446363492,"6","18","1","0.8223","Condalia microphylla",0,75,1,74,"too_rare"
"137",137,0.606455134480892,8.5,8.5,66.5,66.5,0.514495755427526,-0.514495755427526,-0.18394180184549,0.18394180184549,"6","18","1","0.8223","Bredemeyera microphylla",10,65,7,68,"neutral"
"138",138,0.162964051014908,16,16,59,59,-1,1,0.520755643923296,-0.520755643923296,"6","18","1","0.8223","Acantholippia seriphioides",12,63,20,55,"neutral"
"139",139,0.0201990923207849,3.5,3.5,71.5,71.5,1.87082869338697,-1.87082869338697,-0.413918677192358,0.413918677192358,"6","18","1","0.8223","Brachyclados lycioides",7,68,0,75,"too_rare"
"140",140,0.00321973269092177,5,5,70,70,2.23606797749979,-2.23606797749979,-0.597614304667197,0.597614304667197,"6","18","1","0.8223","Baccharis crispa",10,65,0,75,"nurse"
"141",141,1,0.5,0.5,74.5,74.5,-0.707106781186547,0.707106781186547,0.0579284446363492,-0.0579284446363492,"6","18","1","0.8223","Hoffmannseggia trifoliata",0,75,1,74,"too_rare"
"142",142,1,0.5,0.5,74.5,74.5,-0.707106781186547,0.707106781186547,0.0579284446363492,-0.0579284446363492,"6","18","1","0.8223","Abyssinica SIL",0,75,1,74,"too_rare"
"143",143,1,4.5,4.5,70.5,70.5,-0.235702260395516,0.235702260395516,0.0595491334175414,-0.0595491334175414,"6","18","1","0.8223","Baccharis melanopotamica",4,71,5,70,"too_rare"
"144",144,1,1.5,1.5,73.5,73.5,-0.408248290463863,0.408248290463863,0.0583211843519804,-0.0583211843519804,"6","18","1","0.8223","Junellia seriphioides",1,74,2,73,"too_rare"
"145",145,1,1,1,74,74,0,0,0,0,"6","18","1","0.8223","Larrea divaricata",1,74,1,74,"too_rare"
"146",146,1,1.5,1.5,73.5,73.5,0.408248290463863,-0.408248290463863,-0.0583211843519804,0.0583211843519804,"6","18","1","0.8223","Geoffroea decorticans",2,73,1,74,"too_rare"
