"","country","ID","site_ID","plot","graz","aridity","replicate_no","nurse","NIntc_richness","NIntc_cover","NIntc_shannon","NInta_richness","NInta_cover","NInta_shannon"
"159","argentina",17,6,2,2,0.8223,9,"Larrea divaricata",0.666666666666667,0.433333333333333,0.936630460876048,1.33333333333333,0.866666666666667,1.8732609217521
"160","argentina",17,6,2,2,0.8223,10,"Larrea divaricata",-0.25,0.890909090909091,-0.198690073438018,-0.4,1.78181818181818,-0.33151200271167
"161","argentina",17,6,2,2,0.8223,11,"Larrea divaricata",0.222222222222222,0.634361233480176,0.426914848102476,0.444444444444444,1.26872246696035,0.853829696204951
"162","argentina",17,6,2,2,0.8223,12,"Larrea divaricata",0,0.307142857142857,-0.0167935882021901,0,0.614285714285714,-0.0330324431566945
"163","argentina",17,6,2,2,0.8223,13,"Larrea divaricata",0.25,0.703296703296703,0.455692365619861,0.5,1.40659340659341,0.911384731239721
"164","argentina",17,6,2,2,0.8223,14,"Larrea divaricata",0.6,0.884615384615385,0.457032544023005,1.2,1.76923076923077,0.91406508804601
"165","argentina",17,6,2,2,0.8223,15,"Larrea divaricata",0,0.0192307692307692,-0.676914878719236,0,0.0384615384615385,-0.807333618789569
"166","argentina",17,6,2,2,0.8223,16,"Larrea divaricata",0.75,0.993150684931507,1,1.5,1.98630136986301,2
"167","argentina",17,6,2,2,0.8223,17,"Larrea divaricata",-0.125,0.415094339622642,-0.248427408041732,-0.222222222222222,0.830188679245283,-0.397984546704901
"168","argentina",17,6,2,2,0.8223,18,"Larrea divaricata",0.166666666666667,0.641025641025641,-0.0429297899838508,0.333333333333333,1.28205128205128,-0.0823253691593478
"169","argentina",17,6,2,2,0.8223,19,"Larrea divaricata",0.25,-0.104477611940299,0.26442069287726,0.5,-0.189189189189189,0.528841385754521
"170","argentina",17,6,2,2,0.8223,20,"Larrea divaricata",0,0.527777777777778,-0.147964424111396,0,1.05555555555556,-0.25778573099237
"171","argentina",17,6,2,2,0.8223,21,"Larrea divaricata",0.166666666666667,0.295081967213115,-0.142291171047601,0.333333333333333,0.590163934426229,-0.249132926269762
"172","argentina",17,6,2,2,0.8223,22,"Larrea divaricata",0.444444444444444,0.173913043478261,0.431614431376804,0.888888888888889,0.347826086956522,0.863228862753609
"173","argentina",17,6,2,2,0.8223,23,"Larrea divaricata",0.166666666666667,0.0188679245283019,0.0888632810657949,0.333333333333333,0.0377358490566038,0.17772656213159
"174","argentina",17,6,2,2,0.8223,24,"Larrea divaricata",-0.2,-0.25,0.464701206263139,-0.333333333333333,-0.4,0.929402412526279
"175","argentina",17,6,2,2,0.8223,25,"Larrea divaricata",0.666666666666667,0.753086419753086,1,1.33333333333333,1.50617283950617,2
"176","argentina",17,6,2,2,0.8223,26,"Larrea divaricata",0.8,0.473684210526316,1,1.6,0.947368421052632,2
"177","argentina",17,6,2,2,0.8223,27,"Larrea divaricata",-0.333333333333333,0.121951219512195,-0.310509456266216,-0.5,0.24390243902439,-0.473875949206641
"178","argentina",17,6,2,2,0.8223,28,"Larrea divaricata",0,0.22,0.24609583192886,0,0.44,0.49219166385772
"179","argentina",17,6,2,2,0.8223,29,"Larrea divaricata",0.285714285714286,0.53968253968254,0.604388020997919,0.571428571428571,1.07936507936508,1.20877604199584
"180","argentina",17,6,2,2,0.8223,30,"Larrea divaricata",0.3,0.592356687898089,0.496307495722686,0.6,1.18471337579618,0.992614991445372
"181","argentina",17,6,2,2,0.8223,31,"Larrea divaricata",0.666666666666667,0.485148514851485,0.77325668029702,1.33333333333333,0.97029702970297,1.54651336059404
"182","argentina",17,6,2,2,0.8223,32,"Larrea divaricata",0,0.338345864661654,-0.0282220426520867,0,0.676691729323308,-0.0548948407666768
"183","argentina",17,6,2,2,0.8223,33,"Larrea divaricata",-0.25,0.216666666666667,0.0470367127341361,-0.4,0.433333333333333,0.0940734254682722
"184","argentina",17,6,2,2,0.8223,34,"Larrea divaricata",0.333333333333333,0.53921568627451,0.588251807787276,0.666666666666667,1.07843137254902,1.17650361557455
"185","argentina",17,6,2,2,0.8223,35,"Larrea divaricata",0.25,0.340909090909091,0.486083817078019,0.5,0.681818181818182,0.972167634156037
"186","argentina",17,6,2,2,0.8223,36,"Larrea divaricata",0.222222222222222,0.571428571428571,0.475655802677836,0.444444444444444,1.14285714285714,0.951311605355673
"187","argentina",17,6,2,2,0.8223,37,"Larrea divaricata",-0.3,0.326530612244898,-0.0768960923543861,-0.461538461538462,0.653061224489796,-0.142810607077737
"188","argentina",17,6,2,2,0.8223,38,"Larrea divaricata",0.2,0.786885245901639,0.244513624933826,0.4,1.57377049180328,0.489027249867652
